userName,content
A Ramadhan,aplikasi berita update 
Yadi Inspirasi,update terkini
muhammad ozi,nyiarin berita ga cuitan  berita akhok ketemu ahmadani aja sampe    notifikasi berita nyari pasaran  
Triani Indriastuti,berita akurat
Agung Sedayu,bagus   kurangai jd partisan
ade muksin,iklan      sesuai porsi boleh       
Inda Ovianti,kolom komentar
Koestri Yanto,terlalu memaksakan menulis berita yg bbrp halaman  berulang  spy buka halaman pembaca dipaksa lihat iklan  prinsip menulis berita kadang diabaikan pemuatan iklan
Firman,berita yg cepat  akurat terpecaya    
Fernando A,semoga kedepannya mode penghemat data live tv
Rafka Keffin,keren keren
ahmad kusyaeri,media terpercaya terbit sata ikuti 
SALBAN CHANEL,parah   udah minggu gak akses   sementara notifikasi muncul  giliran klik zonk   bintang lima perbaikan
Arda Rias,mohon kurangi iklan niat baca brita sodori iklan duluan  emangnya cari iklan apa 
Rini Siswanti,berita terbaru terlengkap netral   diberitakan
Anto Untied,yut
noor astuti,detik    beritanya sll up date    bunda suka    detik berkualitas
ADY property,beritanya aktual donk  up todate percaya  jangan sembarangan kasih info ga ya 
SUGANDA BUDIDHARMA,beritanya akurat oke  
adi apmj baron,keren
Muhamad Irfan,suka penulisnya berita aja ada    contoh bikin judul belanda dr    gak kalah dr tim non eropa      ama argentina kalah adu pinalti kalah ya media tuh cermat ksh informasi
Ishak Hehanussa,jarang dipake
Nur Djanah,simply the best actual  trust and easy reading
Friskhi Albrianza,detikcom dlm menyuguhkan berita  cepat  tidak ketinggalan akurat 
M Yafi Zhafran,tiap   jam muncul berita ahok terus  bosan bacanya bro  
Wahyudi Jne009,kok iklan  banyak   apa punyaku  
Karma Bali,sudah ga profesional detikcom menyajikan berita  waktunya menghapus aplikasi baca berita    thn kayaknya  jaman detik startup baca berita detik handphone web java hp sony eric on jadul
Okki Rio trisno,kok dibukak aplikasi
Kun com,aplikasi kurang bagus  gak creatif kurang inovasi  kurang konten yg berpotensi membangun kebaikan bangsa
Bhagas Saridhin,beritanya ga bagus
alem jaya,suka berita nya
Pardamean Gultom,usahakan berita yg berimbang  tetep jd panduan utk update berita online
daud lomo,yy
